time,news,publisher
18:17,Процедуру касаційного оскарження судових рішень планують спростити,(ЮРЛИГА)
18:11,"МИД протестует против направления Россией очередного ""гуманитарного конвоя"" в Украину",(Українські новини)
18:06,Меркель попередила про нові санкції для Росії від ЄС в разі нападу на Україну,(mind)
18:04,"Кулеба просуватиме ""Кримську платформу"" на засіданні Ради міністрів закордонних справ ОБСЄ",(depo.ua)
18:03,"Загроза вторгнення Росії: стало відомо, чи вводитимуть в Україні воєнний стан",(Вголос)
18:18,ДТЭК ожидает прибытие второго судна с американским углем на следующей неделе,(Обозреватель)
18:17,Украина готовится открыть рынок курятины Кореи,(AgroPortal)
18:14,Укрзализныця запретила транзит грузов и вагонов в Польшу,(Railway Supply)
18:11,«Укроборонпром» буде співпрацювати з Airbus: що передбачено,(UA.NEWS)
18:10,Нацкомісія з цінних паперів анонсувала запуск біржового індексу деревини,(Цензор.Нет)
18:18,Смертельное ДТП в Харькове: допросили мать 16-летнего Николая Харьковского,(РБК-Україна)
18:14,Изо всех сил: оккупанты в Севастополе пытаются сдерживать цены на продукты,(Флот2017)
18:12,СБУ заблокувала діяльність антиукраїнської мережі на Кіровоградщині,(internetua)
18:11,Чиновники Держгеокадастру привласнили тисячі га цінної землі на Одещині,(UA.NEWS)
18:11,В Измаиле за нападение на бизнесмена бандит заплатит больше миллиона гривен,(УСИ)
18:10,Намагалися реанімувати: син Омельченка назвав причину смерті батька,(24 канал)
17:59,Депутати від Слуги народу хочуть спростити звільнення мовного омбудсмена,(Факти ICTV)
17:53,У Львові депутати не розглянули петицію про демонтаж пам'ятника Францу Ксаверу Моцарту. Що відомо,(UA: Cуспільне мовлення)
17:49,Монастирський анонсував реформування Ювенальної поліції,(UNN)
17:45,Кабинет министров запустил работу Бюро по экономической безопасности,(Матрица Свободы)
18:20,Не только легкие: какие органы страдают больше всего при Covid-19,(Соцпортал)
18:15,Pfizer одобрили для вакцинации детей 5-11 лет,(SKEPTIC)
18:10,На Днепропетровщине от COVID-19 за сутки умерли более 70 человек,(Newsyou)
18:00,Вінницьких школярів 5-11 класів переводять на змішану форму навчання,(24 Вінниця)
17:56,Данія запропонує всім дорослим додаткову дозу вакцини,(Європейська правда)
17:59,Скверу в центрі Чернівців дали нове ім'я - рішення міськради,(Молодий буковинець)
17:55,«Чорна п'ятниця» в Ужгороді. Гід найбільшими знижками,(Zaxid.net)
17:45,Двоє буковинців постануть перед судом за підробку ковід сертифікатів,(Чернівецька газета ЧАС)
17:40,"У Чернівцях чоловік викликав поліцію, бо його не пускали в розважальний заклад",(АСС)
17:08,На Буковині громада заробила понад 100 тис грн на сортуванні сміття,(AgroTrend)
18:13,AMOLED E4 display — новая звезда среди дисплеев,(iLenta)
18:12,Перенос номера при смене мобильного оператора упростили: когда и что изменится для украинцев,(Обозреватель)
18:08,Минторг США ввел санкции против ведущего IT-вуза России,(Информационный навигатор)
18:03,Участок виртуальной земли в NFT-игре Axie Infinity продали за рекордные 550 ETH,(ForkLog)
18:01,Рассекречены характеристики нового смартфона OnePlus 10 Pro,(internetua)
18:12,"В Великобритании обнаружили редкую мозаика с изображением ""Илиады"" Гомера",(34 телеканал)
18:12,Как бабушки повлияли на продолжительность жизни человека,(Вокруг света)
18:06,Марсоход NASA получил еще один образец камня на Красной планете,(РБК-Україна)
18:00,"""Венеция каменного века"": археологи выяснили, почему исчез древний китайский город Лянчжу",(Фокус)
17:52,Альбатросы начали чаще «разводиться» из-за глобального потепления,(Маяк)
18:06,Компания Subaru представила в Японии спортседан WRX S4 нового поколения,(Newsyou)
18:05,Неуплаченные алименты и штрафы: за что правоохранители могут временно отобрать ваше авто,(Znaj.ua)
18:05,"Китайський виробник мотоциклів Songsan готує електричне купе з дверима, як у Lamborghini",(Autogeek)
17:58,Новий концепт-кар від Skoda називатиметься Afriq,(MMR)
17:51,У Volvo з’являться гігантські проекційні дисплеї нового типу,(AMPERCAR)
18:15,УПЛ. Дніпро-1 - Ворскла: онлайн-трансляція. LIVE,(Сhampion.com.ua)
18:14,Манчестер Юнайтед возглавит экс-наставник Шальке и Лейпцига,(Террикон)
18:11,"Александр Зинченко высказал все, что думает о тренере “Манчестер Сити”",(Pro Sport)
18:10,Игроки «Шахтера» получили выходной после матча с «Интером»,(Tribuna.com)
18:07,Шахтар домовився про перший зимовий трансфер з клубом Серії А,(Футбол 24)
18:17,Вчені назвали найпростіший напій для довголіття,(Свідок)
18:09,Высокий холестерин: необычный признак на ногтях укажет на опасное состояние,(ГолосUA)
18:09,"С 1 января ""Феофания"" откроется для всех украинцев: Ляшко раскрыл детали",(Обозреватель)
18:05,"Дієтолог розповіла, як безпечно розморозити продукти",(Newsyou)
18:04,Чем опасен полный отказ от сахара?,(Без хвороб)
18:17,"Аліна Гроссу вперше розказала, як знайомила хлопця з батьками",(Новини.LIVE)
18:17,"Фіналіст ""Танців з зірками"" Артур Логай зізнався, які у нього стосунки з партнеркою",(ТСН)
18:13,Віктор Павлік публічно захистив молоду кохану від нападок ексдружини,(24 канал)
18:08,"Джамала решила вернуться на шоу ""Танці з зірками"" (фото)",(Politeka)
18:03,Холостячка 2 близится к финалу: украинцы уже выбрали мужчину для Златы Огневич,(РБК-Україна)
18:13,Внаслідок вибуху в столиці Сомалі загинули щонайменше 8 людей,(UNN)
18:12,Новини світу: на півночі Іспанії вирує сніговий шторм,(ТСН)
18:11,У Польщі затримали шпигуна,(Бізнес в Польщі)
18:10,Glencore ограничит выпуск цинка в Италии из-за роста цен на электроэнергию,(GMK Center)
18:10,Глава JPMorgan невдало пожартував про Китай: чи становить це загрозу для банку з Волл-стріт,(24 канал)
18:17,"Порошок назальной формы: Появилась карикатура о том, чем на самом деле прививался Путин",(Newsyou)
18:00,Хаскі зажурилася під пісню Адель. Відео,(META)
17:57,Став світовою зіркою: харківський кіт Степан потрапив в Instagram Брітні Спірс,(UNN)
17:43,Створені одне для одного. У США 101-річна жінка забрала з притулку 19-річного кота,(НВ)
17:30,"Водій BMW у Чернівцях оригінально вирішив ситуацію, коли легковик заблокував йому дорогу – курйозне відео",(U-News)
18:13,Новорічну ялинку в Берегові на Закарпатті прикрасять у біло-блакитних тонах,(UA: Cуспільне мовлення)
18:11,Спецназ СБУ отработал сценарий нападения террористов и захвата заложников на Донбассе,(Гордон)
18:08,В Испании всплыло затопленное село. Это происходит не впервые,(Маяк)
18:01,"На Донеччині перекинутий молоковоз ставили на колеса краном, є поранені. ФОТО",(Магнолія-ТВ)
17:51,"Единичка возле костела и особняк под Киевом с ""дырой"" в спальне: как выглядит жилье Влада Ямы (видео)",(РБК-Україна)
18:08,"""Укрзалізниця"" запускает 12 пар скоростных поездов: дата и маршруты",(Обозреватель)
18:05,"Политолог рассказал, как ""вагнергейт"" повлиял на Зеленского (видео)",(Криминал.TV)
18:04,"Україна нарощує експорт ягід, горіхів та фруктів",(GrowHow.in.ua)
18:01,«Дім Ґуччі». Новий фільм Рідлі Скотта вийшов у прокат. Чому варто піти у кіно,(Zaxid.net)
18:00,"Стало известно, сколько со следующего года будет стоить 1 литр подсолнечного масла",(Стена)
18:00,Гороскоп на 26 ноября для всех знаков зодиака,(Сегодня.ua)
17:57,"""Парниша растет не по дням, а по часам"": жена ""Холостяка"" Добрынина показала подросшего сына",(Сlutch)
17:50,Як пронести в літак додаткові речі у ручній поклажі: стюардеса назвала цікавий спосіб,(24 канал)
17:48,Не аеробікою єдиною: чи допомагають силові тренування спалювати зайвий жир,(Факти ICTV)
17:48,Самый простой рецепт жаренного яйца в тосте,(Соцпортал)
